Functional Area,Feature File,Scenario
account-management,account-change-status,As a junior or read only admin I must not see the account change status link
account-management,account-change-status,As an AR user I must not see the account change status link
account-management,account-change-status,As senior admin I cannot change account status of CLOSED account
account-management,account-change-status,As senior admin I can change account status of TRANSFER PENDING account
account-management,account-change-status,As senior admin during account status change I can navigate back or cancel the process
account-management,account-change-status,As senior admin I cannot continue to next change account status screen if no choice is selected
account-management,account-change-status,As senior admin I must provide comment in order to change account status
account-management,account-change-status,As senior admin I can change non closed KP account status
account-management,account-change-status,As senior admin I cannot remove transaction restrictions from ALL TRANSACTION RESTRICTED accounts
account-management,account-change-status,As senior admin I can change non closed ets account status
account-management,account-change-status,As senior admin I cannot partially suspend or restrict or remove transaction restrictions on an account with outstanding closure requests
account-management,account-installation-or-aircraft-details-update,As SRA or JRA user I can update the account installation details of an OHA or the aircraft details of an AOHA account
account-management,account-installation-or-aircraft-details-update,I cannot update oha account installation details or aoha aircraft details when I do not sign in as SRA or JRA or when account status is closed or proposed
account-management,account-installation-or-aircraft-details-update,During oha account installation details or aoha aircraft details update i can cancel the operation
account-management,account-search,Security front end test for account access via ad hoc url get
account-management,account-search,As AR I can search accounts filtering by default criteria
account-management,account-search,As admin I can search accounts using id full name or User filter
account-management,account-search,As user I can filter account list by Account name or ID filter
account-management,account-search,As user I can filter account list by Account Status filter
account-management,account-search,As a AR I cannot see an open account when I am suspended for this account
account-management,account-search,As AR enrolled I dont see SUSPENDED or SUSPENDED PARTIALLY or TRANSFER PENDING or CLOSED accounts
account-management,account-search,As enrolled user I can filter account list by Account Type
account-management,account-search,As user I can filter account list by Account Type for person holding account
account-management,account-search,As senior admin user I can filter account list by Account Type
account-management,account-search,As user I can filter account list using AH filter
account-management,account-search,As user I can filter account list by Permit or Monitoring Id
account-management,account-search,As senior admin user I can filter account list by AR id
account-management,account-search,As user I can filter account list by Regulator
account-management,account-search,As a admin I can filter account list by ExcludedForYear
account-management,account-transfer,As SRA or JRA I can transfer an OHA account of allowed account status to another account holder by adding a valid existing account holder id organization
account-management,account-transfer,As SRA I can see that upon account transfer of an account with authorised representative the authorised representatives are removed from the account
account-management,account-transfer,As SRA I can complete an account transfer process for an account without authorised representatives
account-management,account-transfer,As SRA or JRA I can transfer an OHA account of allowed account status to another account holder by adding a new organisation as account holder
account-management,account-transfer,As SRA I can transfer an OHA account of allowed account status to another account holder by entering account holder id
account-management,account-transfer,As not authorised user I cannot transfer an OHA account to another account holder
account-management,account-transfer,As SRA I cannot transfer an OHA account of invalid status to another account holder
account-management,account-transfer,As SRA I cannot transfer an account of invalid account type to another account holder
account-management,account-transfer,As SRA I cannot transfer an account to the same account holder
account-management,account-transfer,As SRA I cannot transfer an account when i enter invalid values
account-management,account-view-or-edit-details,As enrolled NON AR user I cannot access View account screen because I dont see the account
account-management,account-view-or-edit-details,As enrolled AR user I CANNOT access View account screen of a PROPOSED status account
